电影名,电影年份,上映时间,电影类型,电影时长,用户评分,语言,导演,作者,宣传标语,简介
不期而遇的姐妹,(2026),2026-03-12 (MX),"喜剧,爱情",1h 25m,90,西班牙语,Ihtzi Hurtado,Mariana Palos,简介,两位女子发现自己被同一个男人欺骗，且两人都被他弄怀孕了。于是她们联手展开报复。
奇幻变身大冒险,(2026),2026-05-01 (US),"冒险,动画,家庭,奇幻",1h 42m,89,英语,内森·格雷诺,约翰·惠廷顿,Transform your destiny.,森林中的一个小生物和一只高贵的鸟突然互换了身体，他们不得不结伴而行，共同应对此生最疯狂的冒险。
肖申克的救赎,(1994),1994-09-23 (US),"剧情,犯罪",2h 22m,87,英语,弗兰克·德拉邦特,斯蒂芬·金,恐惧会将你囚禁，希望则能让你获得自由。,安迪·杜佛兰被错判谋杀妻子及其情人，在缅因州肖申克服刑，判处两项无期徒刑接连执行。影片背景设定于1940年代，展现安迪如何在残酷的监狱环境中艰难求生，甚至赢得狱友们的敬重——尤其是与老囚徒“瑞德”·雷丁之间深厚的友谊。
迈克尔·杰克逊：巨星之路,(2026),2026-04-24 (CN),"音乐,剧情",2h 16m,87,英语,安东尼·福奎阿,约翰·洛根,Discover the making of a king.,本片将通过一段从未展现过的深度视角，真实记录传奇巨星迈克尔·杰克逊的复杂人生。影片不仅再现了他最具标志性的艺术表演瞬间，更深入挖掘了他的内心世界——从天才神童的成长阵痛到全球偶像背后的争议与坚韧，全面呈现这位伟大艺术家的辉煌与坎坷。
教父,(1972),1972-03-24 (US),"剧情,犯罪",2h 55m,87,英语,弗朗西斯·科波拉,马里奥·普佐,一份你无法拒绝的邀约。,40年代的美国，“教父”维托·唐·柯里昂是黑手党柯里昂家族的首领，带领家族从事非法的勾当，但同时他也是许多弱小平民的保护神，深得人们爱戴。因为拒绝了毒枭索洛索的毒品交易要求，柯里昂家族和纽约其他几个黑手党家族的矛盾激化、圣诞前夕，索洛索劫持了“教父”的参谋汤姆，并派人暗杀“教父”；因为内奸的出卖，“教父”的大儿子逊尼被仇家杀害；小儿子麦克也被卷了进来，失去爱妻。黑手党家族之间的矛盾越来越白热化。年老的“教父”面对丧子之痛怎样统领全局？黑手党之间的仇杀如何落幕？谁是家族的内奸？谁又能够成为新一代的“教父”？血雨腥风和温情脉脉，在这部里程碑式的黑帮史诗巨片里真实上演。
挽救计划,(2026),2026-03-20 (CN),"科幻,冒险",2h 37m,87,英语,菲尔·洛德,克里斯托弗·米勒,信念是暗夜唯一的光,太阳正在被“吃”掉，绝望吞噬着地球。一名“平凡”的中学教师背负全人类的希望，踏上“太空不归路”。末路孤旅中，他意外遇到一位外星萌友，一个同样身陷绝境的外星工程师，这对“宇宙搭子”成了两个文明最后的救命稻草。他们能否在资源紧缺的情况下攻克重重科学谜题，寻回唯一的希望火种？
教父2,(1974),1974-12-20 (US),"剧情,犯罪",3h 20m,86,英语,弗朗西斯·科波拉,马里奥·普佐,柯里昂帝国的兴衰史。,作为《教父》的续篇，影片延续了科莱昂家族两代权力交替的史诗。科波拉在第二部分中讲述了两条故事线：由罗伯特·德尼罗以非凡演技演绎的年轻教父维托的根源与崛起，以及迈克尔（阿尔·帕西诺饰）作为新任教父的上位之路。
辛德勒的名单,(1993),2019-04-06 (CN),"剧情,历史,战争",3h 15m,86,英语,史蒂文·斯皮尔伯格,托马斯·肯尼利,谁拯救了一条生命，谁就拯救了整个世界。,1939年，波兰在纳粹德国的统治下，党卫军对犹太人进行了隔离统治。德国商人奥斯卡·辛德勒（连姆·尼森 Liam Neeson 饰）来到德军统治下的克拉科夫，开设了一间搪瓷厂，生产军需用品。凭着出众的社交能力和大量的金钱，辛德勒和德军建立了良好的关系，他的工厂雇用犹太人工作，大发战争财。
十二怒汉,(1957),1957-04-10 (US),剧情,1h 36m,86,英语,雷金纳德·罗斯,西德尼·吕美特,命悬其手，死视其意,西德尼·吕美特执导的本片堪称电影史上最颠覆的法庭剧。这部改编自雷金纳德·罗斯电视剧的经典之作，以密室内群像戏的精炼笔法，透视美国司法体系的肌理，张力十足。亨利·方达饰演的异议者，在由白人男性组成的陪审团中孤身抗辩——其余成员皆急于裁定被控弑父的波多黎各少年有罪。故事在一个闷热的午后、一间汗流浃背的房间里层层推进，最终凝聚成一部史诗规模的思辨传奇。吕美特这部震撼人心的导演处女作，精准捕捉了1950年代美国社会变革的前夜，成就了影史不朽的首作丰碑。
千与千寻,(2001),2019-06-21 (CN),"动画,家庭,奇幻",2h 5m,85,日语,宫崎骏,,隧道的另一头，是不可思议的小镇。,小女孩千寻被困在一个陌生的精灵世界。当她的父母发生神秘变化后，她必须鼓起自己从未发现的勇气，才能解救自己，并将家人带回外面的世界。
蝙蝠侠：黑暗骑士,(2008),2018-04-07 (CN),"动作,犯罪,惊悚",2h 32m,85,英语,克里斯托弗·诺兰,鲍勃·凯恩,黎明前的夜是最黑暗的！,蝙蝠侠在打击犯罪的战争中加大了赌注。在吉姆·戈登警长与地方检察官哈维·丹特的协助下，蝙蝠侠决心清除肆虐哥谭街头的残余犯罪组织。这一联手行动卓有成效，但他们很快发现自己沦为了一场混沌统治的猎物——这场混乱由一位新兴犯罪大师所掀动，惶恐的哥谭市民称他为“小丑”。[华纳兄弟影业]
幸运有八只触手,(2026),2026-05-08 (US),"剧情,悬疑",1h 51m,85,英语,奥利维亚·纽曼,约翰·惠廷顿,Brighter together.,一名寡妇在小镇水族馆值夜班，与一只聪明的章鱼及一个迷茫的年轻人培养出独特情谊。
勇夺芳心,(1995),1995-10-20 (IN),"喜剧,剧情,爱情",3h 10m,85,印地语,Aditya Chopra,,"Come… fall In love, all over again…",乔德利和妻子结婚多年，一直十分恩爱。两人共同养育了两个女儿希姆莱和图吉，两个姑娘都出落得亭亭玉立。一晃眼，希姆莱就到了该嫁人的年纪了，尽管乔德利一家人已经在伦敦生活了二十多年了，但乔德利骨子里依旧是一个传统的印度人。乔德利将希姆莱许配给了朋友的儿子库杰，这让希姆莱感到十分不满。一次偶然中，希姆莱邂逅了名为拉杰的印度男子，尽管拉杰为人轻浮，油腔滑调，但希姆莱还是同他坠入了情网。得知此事的乔德利举家迁回了印度，拉杰亦紧跟其后，他要如何才能获得乔德利的认可呢？
绿里奇迹,(1999),1999-12-10 (US),"奇幻,剧情,犯罪",3h 9m,85,英语,弗兰克·德拉邦特,斯蒂芬·金,保罗·埃奇康姆从不相信奇迹。直到他遇见奇迹的那一天。,1935年。美国南部惨淡肃杀的冷山监狱。这里有片一英里长的绿地，人们叫它“绿里”。不过，它的居民皆为死囚，在绿地的另一头，便是行刑用的电椅。保罗·艾治科姆（汤姆·汉 克斯饰）是这里的狱监，对于走过“绿里”、继而在电椅上惨叫毙命的死囚行刑程序，他俨然已无动于衷。除了保罗及其爱妻简外，“绿里”上还有凶残的副狱监豪威尔，有施虐倾向 的狱吏佩西，良心未泯的看守海尔和他身患绝症的妻子美琳达，喜用宠物鼠逗狱吏和诸“难友”取乐的德拉克，连环杀人狂威廉，负疚深重的犯人彼特等一干形形色色的人们。他们之 间充满了敌意和不屑。但神秘的约翰·考夫利的到来改变了一切。考夫利因谋杀两名幼女被 判死罪，他相貌恐怖，体形硕大，却出奇地平和、敏感而缄默，天真时甚至像个孩子，同时， 他似乎还具有一种不可名状的神秘力量，令人不由自主地对其产生信任感，这不禁让艾治科姆对其罪行是否属实深怀疑问。 真情无法取代程式，考夫利终要走过“绿里”。在这个貌似粗鲁的男人即将赴死的刹那，“绿里”上的人们以不同以往的形式实现了各自生命的重要跨越。
要不要做我儿子？,(2023),2023-09-21 (US),"喜剧,爱情",2h 20m,85,英语,Ihtzi Hurtado,,简介,四十岁的卢发现相伴十五年的伴侣出轨，生活瞬间崩塌。她在重建自我的过程中，与一位年轻放浪的男子产生了出乎意料的关系。
指环王3：王者无敌,(2003),2004-03-15 (CN),"冒险,奇幻,动作",4h 23m,85,英语,彼得·杰克逊,J.R.R.托尔金,敌人的邪眼在移动！,索伦大军为剿灭人类种族，已对刚铎都城米那斯提力斯展开围攻。这座昔日的伟大王国由一位日渐衰弱的摄政王守护，此刻比任何时候都更需要它的王者归来。但阿拉贡能否回应血脉的召唤，成为命定之君？中土世界的命运，正系于他宽阔的双肩。
